Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.45
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wexford,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2007,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2008,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2009,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2010,No. per 1000 Pop.,1.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2011,No. per 1000 Pop.,1.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2012,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2013,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2014,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2015,No. per 1000 Pop.,1.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2016,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.19
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Wicklow,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2007,No. per 1000 Pop.,1.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2008,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2009,No. per 1000 Pop.,1.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2010,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2011,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2012,No. per 1000 Pop.,1.62
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2013,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2014,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2015,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2016,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.18
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.51
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Clare,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.22
